,BaseLoad,P_EV,P_WB
2024-01-07 17:00:00,0.044,3.2666666666666666,0.0
2024-01-07 17:15:00,0.044,7.0,0.0
2024-01-07 17:30:00,0.17066666666666666,3.2666666666666666,0.0
2024-01-07 17:45:00,0.2763333333333334,0.0,0.0
2024-01-07 18:00:00,0.168,0.0,0.0
2024-01-07 18:15:00,0.044,0.0,0.0
2024-01-07 18:30:00,0.04715299796604626,0.0,0.0
2024-01-07 18:45:00,0.0558237423726735,0.0,0.0
2024-01-07 19:00:00,0.7789570757060069,0.0,0.0
2024-01-07 19:15:00,0.3518237423726735,0.0,3.0
2024-01-07 19:30:00,0.3278824949151157,0.0,3.0
2024-01-07 19:45:00,0.21666666666666667,0.0,2.0
2024-01-07 20:00:00,0.165,0.0,0.0
2024-01-07 20:15:00,0.06013333333333334,0.0,0.0
2024-01-07 20:30:00,0.12000000000000001,0.0,0.0
2024-01-07 20:45:00,0.234,0.0,0.0
2024-01-07 21:00:00,0.12666666666666668,0.0,0.0
